title,year,bt_score,dubious,imdbid,id,submitterid,date,visible
Gemini Man,2019.0,1.0,0.0,1025100.0,8868.0,17383.0,2019-10-12 10:46:05,1.0
Ford v Ferrari,2019.0,0.0,0.0,1950186.0,8869.0,17384.0,2019-10-12 10:48:31,1.0
Hustlers,2019.0,3.0,0.0,5503686.0,8870.0,17389.0,2019-10-14 13:49:26,1.0
Maleficent: Mistress of Evil,2019.0,3.0,0.0,4777008.0,8876.0,17403.0,2019-10-26 22:39:21,1.0
"Laundromat, The",2019.0,3.0,0.0,5865326.0,8877.0,17405.0,2019-10-27 07:11:37,1.0
"King, The",2019.0,1.0,0.0,7984766.0,8881.0,17413.0,2019-11-04 20:46:01,1.0
Portrait of a Lady on Fire,2019.0,3.0,0.0,8613070.0,8882.0,17414.0,2019-11-05 13:05:07,1.0
"Gentlemen, The",2019.0,3.0,0.0,8367814.0,8982.0,17595.0,2020-01-26 00:33:02,1.0
What Men Want,2019.0,1.0,0.0,7634968.0,8884.0,17421.0,2019-11-08 20:10:14,1.0
After,2019.0,3.0,0.0,4126476.0,8886.0,17424.0,2019-11-10 00:05:05,1.0
Abominable,2019.0,3.0,0.0,6324278.0,8889.0,17427.0,2019-11-10 23:49:56,1.0
Harriet,2019.0,3.0,0.0,4648786.0,8892.0,17431.0,2019-11-11 08:52:32,1.0
Marriage Story,2019.0,2.0,0.0,7653254.0,8893.0,17433.0,2019-11-11 16:17:41,1.0
"Lighthouse, The",2019.0,0.0,0.0,7984734.0,8894.0,17434.0,2019-11-12 19:41:33,1.0
It Chapter 2,2019.0,3.0,0.0,7349950.0,8895.0,17435.0,2019-11-12 20:29:01,1.0
Last Christmas,2019.0,3.0,0.0,8623904.0,8899.0,17442.0,2019-11-17 00:51:02,1.0
Luce,2019.0,3.0,0.0,7616148.0,8900.0,17445.0,2019-11-19 15:52:13,1.0
Klaus,2019.0,1.0,0.0,4729430.0,8901.0,17446.0,2019-11-22 22:00:00,1.0
"Knight Before Christmas, The",2019.0,3.0,0.0,10060094.0,8902.0,17447.0,2019-11-22 22:01:05,1.0
Jojo Rabbit,2019.0,3.0,0.0,2584384.0,8903.0,17448.0,2019-11-23 04:06:48,1.0
Midway,2019.0,1.0,0.0,6924650.0,8904.0,17449.0,2019-11-23 04:22:21,1.0
Charlie&#39;s Angels,2019.0,3.0,0.0,5033998.0,8905.0,17450.0,2019-11-23 04:40:15,1.0
Knives Out,2019.0,3.0,0.0,8946378.0,8907.0,17452.0,2019-11-24 04:44:26,1.0
Motherless Brooklyn,2019.0,3.0,0.0,385887.0,8910.0,17458.0,2019-11-27 19:16:17,1.0
A Beautiful Day in the Neighborhood,2019.0,2.0,0.0,3224458.0,8911.0,17459.0,2019-11-27 19:22:45,1.0
Clementine,2019.0,3.0,0.0,7311036.0,8912.0,17460.0,2019-11-29 10:34:39,1.0
Queen &amp; Slim,2019.0,2.0,1.0,8722346.0,8913.0,17463.0,2019-12-01 22:42:43,1.0
Doctor Sleep,2019.0,3.0,0.0,5606664.0,8914.0,17464.0,2019-12-02 19:31:17,1.0
"Irishman, The",2019.0,1.0,0.0,1302006.0,8915.0,17465.0,2019-12-02 20:57:08,1.0
Frozen 2,2019.0,3.0,0.0,4520988.0,8916.0,17467.0,2019-12-03 05:40:40,1.0
Unbelievable,2019.0,3.0,0.0,7909970.0,8917.0,17468.0,2019-12-03 20:38:04,1.0
Les Miserables,2019.0,0.0,0.0,10199590.0,8918.0,17470.0,2019-12-03 23:15:47,1.0
Zombieland: Double Tap,2019.0,3.0,0.0,1560220.0,8927.0,17480.0,2019-12-09 19:08:32,1.0
Tekst,2019.0,1.0,1.0,10767426.0,8932.0,17496.0,2019-12-16 10:25:56,1.0
Satanic Panic,2019.0,3.0,0.0,8510350.0,8934.0,17501.0,2019-12-19 21:53:36,1.0
Star Wars: Episode IX - The Rise of Skywalker,2019.0,3.0,0.0,2527338.0,8936.0,17503.0,2019-12-22 14:49:19,1.0
Yesterday,2019.0,1.0,0.0,8079248.0,8937.0,17507.0,2019-12-25 23:38:49,1.0
Her Smell,2019.0,3.0,0.0,7942742.0,8940.0,17510.0,2019-12-28 13:50:31,1.0
Cats,2019.0,3.0,0.0,5697572.0,8941.0,17513.0,2019-12-30 00:43:13,1.0
Rambo: Last Blood,2019.0,2.0,1.0,1206885.0,8942.0,17515.0,2019-12-30 19:46:28,1.0
Good Boys,2019.0,3.0,0.0,7343762.0,8943.0,17517.0,2019-12-31 06:34:57,1.0
A Dog&#39;s Journey,2019.0,3.0,0.0,8385474.0,8946.0,17522.0,2020-01-01 23:07:36,1.0
Monos,2019.0,3.0,0.0,6062774.0,8948.0,17526.0,2020-01-05 07:44:54,1.0
Little Women,2019.0,3.0,0.0,3281548.0,8949.0,17527.0,2020-01-05 13:59:23,1.0
"Aeronauts, The",2019.0,3.0,0.0,6141246.0,8950.0,17528.0,2020-01-05 14:01:59,1.0
Uncut Gems,2019.0,2.0,1.0,5727208.0,8951.0,17533.0,2020-01-06 21:31:53,1.0
Sorry We Missed You,2019.0,3.0,0.0,8359816.0,8980.0,17593.0,2020-01-25 12:10:58,1.0
"Goldfinch, The",2019.0,1.0,0.0,3864056.0,8953.0,17537.0,2020-01-08 15:31:28,1.0
"Two Popes, The",2019.0,1.0,0.0,8404614.0,8956.0,17540.0,2020-01-09 19:06:41,1.0
1917,2019.0,0.0,0.0,8579674.0,8962.0,17552.0,2020-01-13 19:28:36,1.0
Just Mercy,2019.0,2.0,0.0,4916630.0,8979.0,17590.0,2020-01-24 14:44:41,1.0
Little Joe,2019.0,3.0,0.0,9204204.0,8967.0,17566.0,2020-01-18 00:28:28,1.0
Anya,2019.0,3.0,0.0,7488288.0,8968.0,17568.0,2020-01-18 05:13:57,1.0
For Sama,2019.0,3.0,0.0,9617456.0,8969.0,17569.0,2020-01-18 22:13:56,1.0
Troop Zero,2019.0,3.0,0.0,2404465.0,8970.0,17570.0,2020-01-19 02:46:12,1.0
Cosmos,2019.0,0.0,0.0,4477292.0,8972.0,17572.0,2020-01-19 19:55:43,1.0
Jeanne,2019.0,3.0,0.0,8669356.0,8974.0,17575.0,2020-01-20 09:47:51,1.0
"Shiny Shrimps, The",2019.0,0.0,0.0,6918220.0,8975.0,17577.0,2020-01-20 10:15:26,1.0
