imdbid,title,female_cast_count,male_cast_count,nonbinary_cast_count,num_actors
230.0,Cinderella,2,1,0,6
6745.0,Gretchen the Greenhorn,1,3,0,4
7361.0,Snow White,1,2,0,5
8443.0,The Poor Little Rich Girl,5,2,0,13
9652.0,Stella Maris,3,3,0,8
10281.0,I Don't Want to Be a Man,2,2,0,5
11870.0,Within Our Gates,1,1,0,17
12532.0,Orphans of the Storm,6,10,0,19
11979.0,The Blot,4,4,0,8
13257.0,Häxan,16,14,0,31
13140.0,Foolish Wives,5,6,0,19
13086.0,"Dr. Mabuse, the Gambler",9,24,0,36
13626.0,The Smiling Madame Beudet,3,4,0,7
15881.0,Greed,8,10,0,24
18033.0,It,7,5,0,14
18183.0,My Best Girl,5,12,0,23
19258.0,The Patsy,3,4,0,7
18737.0,Pandora's Box,3,5,0,10
21015.0,Juno and the Paycock,3,5,0,11
19729.0,The Broadway Melody,8,9,0,35
20641.0,Anna Christie,2,6,0,9
21040.0,Ladies of Leisure,5,8,0,13
21148.0,Min and Bill,3,8,0,12
20668.0,The Bat Whispers,2,12,0,16
21165.0,Murder!,7,7,0,29
20640.0,Animal Crackers,4,8,0,15
22100.0,M,3,13,0,19
22183.0,Mädchen in Uniform,10,1,0,21
22208.0,Night Nurse,7,7,0,14
23196.0,Mata Hari,7,11,0,18
21749.0,City Lights,2,15,0,29
22286.0,The Public Enemy,8,21,0,35
21739.0,La Chienne,5,6,0,22
22395.0,The Skin Game,4,9,0,16
21746.0,Cimarron,6,15,0,24
22397.0,Skippy,3,10,0,16
22958.0,Grand Hotel,9,22,0,32
23293.0,The Old Dark House,4,6,0,10
23649.0,Vampyr,1,3,0,10
23458.0,Shanghai Express,3,17,0,24
23590.0,Three on a Match,15,22,0,38
23385.0,Red-Headed Woman,5,14,0,19
23582.0,Thirteen Women,8,3,0,13
24028.0,Footlight Parade,6,12,0,20
24481.0,Queen Christina,7,24,0,31
24264.0,Little Women,10,6,0,19
23753.0,Alice in Wonderland,10,22,0,33
24727.0,The Vampire Bat,4,8,0,12
24034.0,42nd Street,8,18,0,27
24069.0,Gold Diggers of 1933,12,14,0,28
24008.0,Female,6,37,0,49
24625.0,A Study in Scarlet,4,9,0,13
23775.0,Baby Face,8,28,0,39
23876.0,Cavalcade,10,7,0,17
