imdbid,title,female_crew,male_crew,nonbinary_crew,num_crew
230.0,Cinderella,0,4,0,4
6745.0,Gretchen the Greenhorn,0,3,0,3
7361.0,Snow White,0,1,0,1
8443.0,The Poor Little Rich Girl,2,4,0,7
9652.0,Stella Maris,1,4,0,6
10281.0,I Don't Want to Be a Man,0,5,0,6
11870.0,Within Our Gates,0,3,0,3
12532.0,Orphans of the Storm,1,9,0,14
11979.0,The Blot,4,2,0,6
13257.0,Häxan,0,5,0,10
13140.0,Foolish Wives,0,13,0,22
13086.0,"Dr. Mabuse, the Gambler",1,9,0,14
13626.0,The Smiling Madame Beudet,1,7,0,8
15881.0,Greed,1,23,0,26
18033.0,It,2,7,0,12
18183.0,My Best Girl,3,5,0,11
19258.0,The Patsy,2,5,0,12
18737.0,Pandora's Box,0,6,0,6
21015.0,Juno and the Paycock,1,6,0,10
19729.0,The Broadway Melody,1,13,0,15
20641.0,Anna Christie,1,9,0,10
21040.0,Ladies of Leisure,0,10,0,13
21148.0,Min and Bill,3,6,0,12
20668.0,The Bat Whispers,1,11,0,14
21165.0,Murder!,2,8,0,17
20640.0,Animal Crackers,0,5,0,12
22100.0,M,1,9,0,14
22183.0,Mädchen in Uniform,5,8,0,19
22208.0,Night Nurse,1,8,0,9
23196.0,Mata Hari,1,14,0,16
21749.0,City Lights,0,18,0,21
22286.0,The Public Enemy,0,11,0,11
21739.0,La Chienne,1,7,0,17
22395.0,The Skin Game,1,4,0,6
21746.0,Cimarron,1,13,0,17
22397.0,Skippy,0,10,0,14
22958.0,Grand Hotel,2,8,0,12
23293.0,The Old Dark House,0,9,0,11
23649.0,Vampyr,1,9,0,17
23458.0,Shanghai Express,0,8,0,9
23590.0,Three on a Match,0,15,0,16
23385.0,Red-Headed Woman,3,8,0,11
23582.0,Thirteen Women,1,9,0,12
24028.0,Footlight Parade,0,25,0,36
24481.0,Queen Christina,2,19,0,27
24264.0,Little Women,4,13,0,22
23753.0,Alice in Wonderland,0,9,0,9
24727.0,The Vampire Bat,0,8,0,13
24034.0,42nd Street,0,20,0,31
24069.0,Gold Diggers of 1933,0,18,0,20
24008.0,Female,0,12,0,16
24625.0,A Study in Scarlet,0,6,0,9
23775.0,Baby Face,0,12,0,13
