imdbid,title,production_company
230.0,Cinderella,Star-Film
230.0,Cinderella,Georges Méliès
8443.0,The Poor Little Rich Girl,Artcraft Pictures Corporation
9652.0,Stella Maris,Mary Pickford Company
10281.0,I Don't Want to Be a Man,Projektions-AG Union (PAGU)
11870.0,Within Our Gates,Micheaux Book & Film Company
12532.0,Orphans of the Storm,D.W. Griffith Productions
11979.0,The Blot,Lois Weber Productions
13257.0,Häxan,Aljosha Production Company
13257.0,Häxan,SF Studios
13140.0,Foolish Wives,Universal Film Manufacturing Company
13086.0,"Dr. Mabuse, the Gambler",Uco-Film GmbH
13626.0,The Smiling Madame Beudet,Colisée Films
15881.0,Greed,Metro-Goldwyn-Mayer
18033.0,It,Paramount
18033.0,It,Famous Players-Lasky Corporation
18183.0,My Best Girl,United Artists
18183.0,My Best Girl,Pickford Corporation
19258.0,The Patsy,Cosmopolitan Productions
19258.0,The Patsy,Metro-Goldwyn-Mayer
18737.0,Pandora's Box,Nero-Film AG
21015.0,Juno and the Paycock,British International Pictures
19729.0,The Broadway Melody,Metro-Goldwyn-Mayer
20641.0,Anna Christie,Metro-Goldwyn-Mayer
21040.0,Ladies of Leisure,Columbia Pictures
21148.0,Min and Bill,Metro-Goldwyn-Mayer
20668.0,The Bat Whispers,Art Cinema Corporation
20668.0,The Bat Whispers,Joseph M. Schenck Productions
21165.0,Murder!,British International Pictures
20640.0,Animal Crackers,Paramount
22100.0,M,Nero-Film AG
22183.0,Mädchen in Uniform,Deutsche Film-Gemeinschaft
22208.0,Night Nurse,The Vitaphone Corporation
22208.0,Night Nurse,Warner Bros. Pictures
23196.0,Mata Hari,Metro-Goldwyn-Mayer
21749.0,City Lights,Charles Chaplin Productions
21749.0,City Lights,United Artists
22286.0,The Public Enemy,The Vitaphone Corporation
22286.0,The Public Enemy,Warner Bros. Pictures
21739.0,La Chienne,Les Établissements Braunberger-Richebé
22395.0,The Skin Game,British International Pictures
21746.0,Cimarron,RKO Radio Pictures
22397.0,Skippy,Paramount
22958.0,Grand Hotel,Metro-Goldwyn-Mayer
23293.0,The Old Dark House,Universal Pictures
23649.0,Vampyr,Tobis Filmkunst
23458.0,Shanghai Express,Paramount
23590.0,Three on a Match,First National Pictures
23385.0,Red-Headed Woman,Metro-Goldwyn-Mayer
23582.0,Thirteen Women,RKO Radio Pictures
24028.0,Footlight Parade,Warner Bros. Pictures
24481.0,Queen Christina,Metro-Goldwyn-Mayer
24264.0,Little Women,RKO Radio Pictures
